"GUID","Label","Method","Specification","Policy"
"43abded0-c3bf-44e7-8c1f-c4207608b1fa","VALIDATION_INDIVIDUALCOUNT_INTEGER","urn:uuid:fa413c93-e532-4e86-bd1a-be1ff9aed801","urn:uuid:326173d8-80cf-4be5-83f0-04fd67d3bb25","urn:uuid:ce4440e8-635b-450e-aebc-a52776bf719d"
"fffdc42b-b15e-4450-9e6a-f4181a319106","VALIDATION_PATHWAY_NOTEMPTY","urn:uuid:365a27b2-cf14-4783-aa22-6fb35fc867ce","urn:uuid:21876377-574e-45fb-9bf3-c4d2ccdd995f","urn:uuid:e31a466b-a175-45c1-9cec-2296fa9313fb"
"0fa16c7e-eb9c-4add-9193-aca6087d6636","VALIDATION_DEGREEOFESTABLISHMENT_NOTEMPTY","urn:uuid:435b1261-0334-4edc-bc0c-ef61d1e9ec36","urn:uuid:4ef5762f-fea7-497d-a637-e4b744bebeaf","urn:uuid:0b9d3a61-cdef-4392-9100-644f8536fafb"
"10ef7660-3e08-4b74-95d3-66131275cf31","AMENDMENT_REPRODUCTIVECONDITION_STANDARDIZED","urn:uuid:9116d7d1-5a12-4d72-aa79-82d377b4a6f6","urn:uuid:42c9c755-2f1a-4d56-b6f8-889c148049d6","urn:uuid:3b711bae-18c1-4bb9-aef0-34e8e19d057b"
"8d0cbfee-4524-4da3-83d4-bebc4c4f7cd2","AMENDMENT_PREPARATIONS_STANDARDIZED","urn:uuid:b339c443-d4cf-4bf3-b0cc-6b4c0d019de3","urn:uuid:9a034f38-7d86-463e-86c1-b5b3a482dbf5","urn:uuid:cccc625c-52db-4e13-9411-44f1ee7aa0b5"
"c253f11a-6161-4692-bfce-4328f1961630","VALIDATION_MODIFIED_STANDARD","urn:uuid:9ddd0e81-be7e-47f9-a3d4-fa3704750ad5","urn:uuid:aafbdb98-9875-4baa-bcd7-685bafadab82","urn:uuid:0e24d9fb-6469-4375-be64-4d5ec83ca8c4"
"07e79079-42e9-48e9-826e-4874ae34bce3","AMENDMENT_LIFESTAGE_STANDARDIZED","urn:uuid:26d3a3d9-5c2f-451e-b26b-6e2bd983326b","urn:uuid:1246660d-5aa0-4f17-b930-67e419a43f3c","urn:uuid:b7b77b99-6f43-4f12-9681-3269f28ec6a0"
"be40d19e-1fe7-42ed-b9d0-961f4cf3eb6a","VALIDATION_LIFESTAGE_STANDARD","urn:uuid:69fc0414-461e-47a8-af63-8645a9103409","urn:uuid:d023b94e-a82c-4c26-8ceb-3e34e4364b25","urn:uuid:75117716-a7fe-4269-8eb9-c7726d01fbd3"
"0267c35f-a02b-4dc9-9a01-38797faa6b2b","VALIDATION_ENDDAYOFYEAR_NOTEMPTY","urn:uuid:7ee96dae-a035-4d9e-9606-2cae52de66cd","urn:uuid:a997dcf7-9c0d-49ed-94b6-4489db26abf7","urn:uuid:305ce9f7-2cf3-42c1-91b1-b092ee05f840"
"167d4346-6fac-40eb-9d2e-30b7683dac04","VALIDATION_STARTDAYOFYEAR_NOTEMPTY","urn:uuid:b8dbe448-6499-48b6-9f8d-1ded6fb3ddfc","urn:uuid:c0446a29-31eb-4a79-a618-f63fc44cb38d","urn:uuid:827eb7b2-75b7-45c1-a027-ee483f2c4676"
"76067adf-1422-4d03-89e3-9067c3043700","VALIDATION_SEX_NOTEMPTY","urn:uuid:19b076bb-d5d4-4572-9e08-0fe6a519d941","urn:uuid:e2b614d3-a227-40fd-8277-72c0e448f771","urn:uuid:2340e694-c570-4de4-8f96-d8a821e98a8b"
"cd281f7e-13b3-43ae-8677-de06ffa70bb4","VALIDATION_RELATIONSHIPOFRESOURCE_NOTEMPTY","urn:uuid:140f53c4-7613-4116-85e2-5066081eca36","urn:uuid:b643cd11-741a-4080-919f-704c88a885b5","urn:uuid:1f2f7d0e-fb0b-40eb-af10-f8a00bb58033"
"2aa1b7a0-0473-4a90-bf11-a02137c5c65b","VALIDATION_PREPARATIONS_NOTEMPTY","urn:uuid:236fc047-0f00-4e0e-9506-58dfce3ea40c","urn:uuid:5fba8a6e-3a3d-4719-9be7-73372df97273","urn:uuid:61fdf80a-84af-4523-8329-3385b26a1303"
"87537c73-4f70-4938-8114-7f5b149ed03c","VALIDATION_MUNICIPALITY_NOTEMPTY","urn:uuid:ba6f6b9d-fc91-45b3-bb4e-a7b8f10caa6a","urn:uuid:9e421b82-ab79-4026-8493-35b286e112f5","urn:uuid:b161fae5-7c50-4dc4-894a-1ec5a6b61ea0"
"53e02d0c-93bd-444f-aa7f-68832bdd3143","VALIDATION_GEOREFERENCEVERIFICATIONSTATUS_NOTEMPTY","urn:uuid:67539533-a97a-4745-ad61-8f34192bc8dc","urn:uuid:7bc482c8-0b56-4c47-bfd6-7a76290e68c4","urn:uuid:9907db26-c24b-42c5-875d-da1144a645c9"
"e1765718-0964-4b40-9451-a66b23ca6268","VALIDATION_GEOREFERENCEDDATE_NOTEMPTY","urn:uuid:209ca5e1-1d4a-401b-89df-9fdd2179ef57","urn:uuid:f3d28dd6-d57f-410a-85ae-12c63f2de9df","urn:uuid:bb1c6582-491f-4348-becb-e1d859efa101"
"aaebbde6-a101-4665-ba1e-6d4d8c561a31","VALIDATION_EVENTTIME_NOTEMPTY","urn:uuid:ac515d80-749f-4e04-a324-8b6c91d985be","urn:uuid:af43973f-9888-4ec6-8565-40a8654199cf","urn:uuid:a0f10692-d0af-47f0-948a-162e45d9e388"
"eb9b70c7-9cf6-42ea-a708-5de527211df4","VALIDATION_VERNACULARNAME_NOTEMPTY","urn:uuid:4a74e46c-0722-497f-9919-d8c77065bba9","urn:uuid:e78d9524-a655-40d4-b86a-73a9ee470814","urn:uuid:a884efa7-4a54-43f3-95c4-a0211e70c4cd"
"59d9dc66-8d86-4b8e-8f26-54b542d6c375","VALIDATION_VERBATIMSRS_NOTEMPTY","urn:uuid:35baf9d6-d37d-4cc1-9eda-b9ce0fd02af3","urn:uuid:447561f8-9241-4b9a-8609-40372926870f","urn:uuid:3c9c2d85-e8c5-419d-ab37-4c52b4932969"
"6e62e8e3-cffd-4afe-957c-5b200a6eaa4e","ISSUE_VERBATIMLONGITUDE_NOTEMPTY","urn:uuid:72106b24-7c9c-4a78-a5ee-b79c61ec239a","urn:uuid:5340ea82-129c-4bec-a27f-cfc0c5e87038","urn:uuid:9926b67b-ad82-4619-a035-b3e979f7c2cb"
"286fa10a-dab0-4f73-8732-76e379c932df","ISSUE_VERBATIMLATITUDE_NOTEMPTY","urn:uuid:9fbead44-b91b-422f-b705-064d29d8fdc1","urn:uuid:862fc787-c79e-4d43-9f59-92be8d54b5a9","urn:uuid:e3e7116b-1ade-421a-b4eb-0aea5c754d02"
"9bc8b105-902a-489c-aae8-3b7075e1b948","ISSUE_VERBATIMEVENTDATE_NOTEMPTY","urn:uuid:0a095f6c-34f2-4653-a777-5574954c3ec3","urn:uuid:08c724b5-fa69-4411-b9b8-303c40710d38","urn:uuid:c52a9915-ff02-43f5-b9a5-2be851fb9f9e"
"c9fc7ef1-7714-4dfa-8dea-589d5b43f432","ISSUE_VERBATIMELEVATION_NOTEMPTY","urn:uuid:bddcd039-bbb5-4e5c-832d-dd27cf08ba0d","urn:uuid:63cd57d7-e686-410a-8108-4b24a2a4594f","urn:uuid:03edba4d-042b-4593-8b95-74d639a5c5b6"
"402c0a7c-2fbd-45d4-b644-61a47a887779","ISSUE_VERBATIMDEPTH_NOTEMPTY","urn:uuid:183d3af2-867c-440a-97c7-8e710bb2212b","urn:uuid:4c6e843f-70bf-44b0-bc58-69c337cb6a16","urn:uuid:aae46d33-a361-4b03-b9bb-b3d780843ef2"
"533118dd-eb18-4339-b2f8-0b7f71801305","ISSUE_VERBATIMCOORDINATES_NOTEMPTY","urn:uuid:9b4675f5-52e5-47ae-b67f-af51a2730e32","urn:uuid:a6c05ecb-7cd6-401b-92ff-8c4023f06cb6","urn:uuid:a615af24-dd47-4119-8e25-1abf360763ee"
"cd7cae15-f255-41a3-b002-c9620c40f620","VALIDATION_TYPESTATUS_NOTEMPTY","urn:uuid:3fbd9997-d15e-41e4-9022-e237b80eaa0c","urn:uuid:1819e21b-f7d2-4492-8460-8d49cc898021","urn:uuid:92c159da-141b-4aea-baa8-917a6b486b79"
"476d3e8e-e061-414c-b8ef-6d6da8f1ec02","VALIDATION_STATEPROVINCE_NOTEMPTY","urn:uuid:5b02109a-3b9d-447b-a6ec-f7e629f61e07","urn:uuid:4bc6eff0-671f-471d-a659-72ed48d1d224","urn:uuid:61d90bd9-7e8e-46c7-8916-8c3b5218ade0"
"3bd2477c-6497-43b0-94e6-b811eed1b1cb","VALIDATION_RECORDNUMBER_NOTEMPTY","urn:uuid:00a4e5d9-2ea6-4ab3-ba8f-e75948ad0357","urn:uuid:2c3ba3ab-f01f-45f0-85e3-f7ad7822bbad","urn:uuid:3e790bac-404e-47cd-9815-63d4f9059bde"
"986ad95d-ffa1-4e3b-a6cb-ed943c87be0d","VALIDATION_RECORDEDBY_NOTEMPTY","urn:uuid:8b25fbdf-a0a3-4a8a-ad15-e52dd8582040","urn:uuid:9518daa1-0790-488d-bfc5-36b0828f56c6","urn:uuid:24317a1a-d259-4dda-8aab-8c315f06412e"
"dc2fc946-8114-491b-8a7b-3242a274a221","VALIDATION_MONTH_NOTEMPTY","urn:uuid:a974a47e-f92a-4bd8-852a-36cb8e5ba7bb","urn:uuid:72c4b1da-c0d1-4da6-9128-92fa14439242","urn:uuid:dce7e349-dcca-4dc6-8274-c499fb6ad303"
"b8500bf0-273b-45c0-91a5-ebade24f1b04","VALIDATION_MINIMUMELEVATION_NOTEMPTY","urn:uuid:54010700-e2d0-433b-b572-bac6526d36a9","urn:uuid:3c886074-ff94-4201-884d-e24411187f82","urn:uuid:73c4a799-e3e9-4090-84d5-fe68282a2abf"
"e10777f1-ca8c-4129-ab2a-7c81856a4ba5","VALIDATION_MINIMUMDEPTH_NOTEMPTY","urn:uuid:66c49f2f-2db7-4552-a1c0-07256c91b7b6","urn:uuid:80d63559-cce6-4b95-ba27-6b87f6fca36b","urn:uuid:3ba01475-c78a-4020-94e4-0a1c538780c5"
"653d907a-af86-4c1d-9156-0e86f79cbd2a","VALIDATION_MAXIMUMELEVATION_NOTEMPTY","urn:uuid:756b673f-d28a-4e3a-aa19-e26e2e569c08","urn:uuid:a590ae97-7f36-474c-a43e-92a32097db3c","urn:uuid:4cd85fbd-0b09-49a9-a6d0-e5738c163a2c"
"7236d80f-53cc-4871-9359-fbd468808136","VALIDATION_MAXIMUMDEPTH_NOTEMPTY","urn:uuid:8bf31492-eccc-4a7b-9121-adca77703a85","urn:uuid:f7143777-4aa3-4588-acfa-b05aac6eccc8","urn:uuid:a22e5c99-2208-48da-9386-4f84926becb2"
"83282c46-0bd8-4f6c-a015-40506b0d5dc5","VALIDATION_LOCALITY_NOTEMPTY","urn:uuid:6bff6603-8be1-4e48-b5f9-afa4b0f6cbfe","urn:uuid:2007d1cb-0368-4f43-820c-7ba88443c3bb","urn:uuid:9818f37d-b06e-43c6-8e6e-063901cb3766"
"34b9eec9-03d5-4dc9-94b7-5b05ddcaaa87","VALIDATION_LIFESTAGE_NOTEMPTY","urn:uuid:15022d14-6f21-4102-ab43-c8f1a41dbbfc","urn:uuid:33feb280-12bf-4aa6-80e4-17ad3741d179","urn:uuid:2250c96d-73f2-4f19-a014-289f25886480"
"0b90c114-5ff1-4024-a174-b866b7ca6b81","VALIDATION_ISLANDGROUP_NOTEMPTY","urn:uuid:4303e2b8-8296-4438-9f80-28a57781d09d","urn:uuid:27781083-126f-4f98-814e-1e63083fc6cb","urn:uuid:77a90c19-5930-4e2c-8df7-f60d39ee83f0"
"4d72c8d0-c785-4e8a-aea5-08c0a9f2d88b","VALIDATION_ISLAND_NOTEMPTY","urn:uuid:38677f78-4279-4d11-8a22-e4feb60a9dba","urn:uuid:81352c13-3714-4fbb-be0f-460d1f5e0b3f","urn:uuid:0264499b-1532-494b-aef2-2db1951ff830"
"aff0facd-1d2a-40a5-a55a-61f950cd68a0","VALIDATION_INDIVIDUALCOUNT_NOTEMPTY","urn:uuid:affd0db5-0f62-4ce3-acd4-8cb312815c9e","urn:uuid:cc9d0770-9aa7-4838-8438-5d8375a58f26","urn:uuid:cb16ee57-f9b6-404d-80ef-a90a1f4d8a07"
"cfa2c8fd-e778-4f2b-8c16-2221d46e0006","VALIDATION_HIGHERGEOGRAPHY_NOTEMPTY","urn:uuid:9747c7d8-f498-43d5-a664-84d09ae2e41b","urn:uuid:07f8bf45-4a71-4740-bbeb-6cadbd4bdbad","urn:uuid:4df7adbd-9894-4ca8-9116-7258dcc4dbae"
"72ed16f1-0587-4afd-a9fc-602c2f3f1975","VALIDATION_HIGHERCLASSIFICATION_NOTEMPTY","urn:uuid:ac48a381-f178-4daf-b75c-eb904cbbe409","urn:uuid:9e1452e6-a54e-443e-970a-425fcecefdeb","urn:uuid:e625da35-85fd-45e0-8a21-93c5088ccb25"
"21fe55e5-3190-45a4-af17-dd47cf33275e","VALIDATION_GEOREFERENCEVERIFICATIONSTATUS_NOTEMPTY","urn:uuid:083fdace-7876-4b94-b692-20adc9f6630d","urn:uuid:487df663-096d-41a8-bbf8-e09f5580be02","urn:uuid:5670a3b1-8f0b-464a-923f-403807d71a13"
"2b03e9ae-b7b9-48e6-bbf9-31bfcdcae212","VALIDATION_GEOREFERENCEDDATE_NOTEMPTY","urn:uuid:84160e81-2e32-4992-8aa4-79a07941d2bc","urn:uuid:60b5570a-b043-46f2-b8a4-641945121473","urn:uuid:5a0adde9-e7b2-45f5-8b0a-d9ce0aec1901"
"c6b705fc-7cf8-4af1-88ab-7a38d85f7109","VALIDATION_FOOTPRINTWKT_NOTEMPTY","urn:uuid:f7d62ca2-f693-4364-8d1a-28fae7fa8548","urn:uuid:4a09ab69-8a62-42f3-ba9c-7930240457a6","urn:uuid:6e93fd87-f4e5-4a59-9cd5-04f4dab71bba"
"b4c17611-2703-474f-b46a-93b08ecfee16","VALIDATION_DISPOSITION_NOTEMPTY","urn:uuid:5a9d71c6-bb70-4748-9406-92ca8d001916","urn:uuid:39dae689-174e-41bb-9c97-efdcb97adf59","urn:uuid:25d2a853-733e-4ed5-b6b7-077c5fe650e4"
"e17918fc-25ca-4a3a-828b-4502432b98c4","VALIDATION_MODIFIED_NOTEMPTY","urn:uuid:b910b4b8-a788-4548-9e3b-00c3ec5c2446","urn:uuid:3eaefeb3-41e6-44de-82e5-577c03622785","urn:uuid:13bd3f12-c136-4b60-969c-c99acd594234"
"77b380ce-7c9d-498f-a2b5-3ac5c5bf23f7","VALIDATION_COORDINATEPRECISION_NOTEMPTY","urn:uuid:89262c57-d0a0-41d4-81fe-86aa0fc9d417","urn:uuid:119474df-b3b2-4846-a165-f027ff559737","urn:uuid:cd6b60bd-3f13-458d-b793-5206ab3f1b02"
"181c51da-d5d8-41e9-94f9-1387fa5a5a2b","VALIDATION_CONTINENTWATERBODY_NOTEMPTY","urn:uuid:09127586-aa0b-4d59-853d-00d3809313b0","urn:uuid:46aa4df3-8d98-4970-9172-ccaf47c1e997","urn:uuid:986831c6-b077-419c-85ed-e22603f36d97"
"cdb37443-292e-49b6-a012-4718f0d7ba64","VALIDATION_SPECIFICEPITHET_NOTEMPTY","urn:uuid:1a9f45ac-8b01-4a57-af3f-689665bdfbf8","urn:uuid:c1731d4b-e80c-4dbf-8fc0-e23c7e64737c","urn:uuid:3b94b15c-1b11-4e2a-84d8-2998416eb2fb"
"77c6fde2-c3ca-4ad3-b2f2-3b81bba9a673","VALIDATION_INFRASPECIFICEPITHET_NOTEMPTY","urn:uuid:f4e36818-c390-4689-ad41-889070218b50","urn:uuid:40565507-cb36-46f0-8396-b911d89d0270","urn:uuid:7f2cae7b-466e-4271-9f82-488318ea7bdb"
"19bbd107-6b14-4c82-8d3e-f7a2a67df309","VALIDATION_PHYLUM_NOTEMPTY","urn:uuid:2d29bb3c-66ba-4a93-87d1-91fda7a3546b","urn:uuid:fe2b75e7-3ff1-4646-8eb0-0fee7dfd296c","urn:uuid:19d7aead-2f98-4a56-bd00-f5f56614b810"
"d1c40fc8-d8ad-4148-82e0-b4b7ead70051","VALIDATION_ORDER_NOTEMPTY","urn:uuid:cc576f06-e3ea-4af9-b0db-90f639f433cc","urn:uuid:08d94832-46a8-434d-a1ff-9ffc2dcf5685","urn:uuid:171b7f8d-259d-4fb6-a331-76300b397339"
"5bfa043c-1e19-4224-8d55-b568ced347c2","VALIDATION_FAMILY_NOTEMPTY","urn:uuid:e4d66260-08c8-459a-aab5-d83f730ca08e","urn:uuid:0e9d5cab-3b82-4dc6-8d0f-3bf0d852a2d0","urn:uuid:88281822-4614-4866-acd3-caa3e151cb57"
"d02c1ffd-af28-49bd-9c9c-e8e23a8b7258","VALIDATION_GENUS_NOTEMPTY","urn:uuid:1d485419-cd6f-4669-9e65-eb3de9eeaae5","urn:uuid:1a2f785e-a2d3-4480-9832-07d6332d2346","urn:uuid:8eff87ec-a13e-44fa-891f-d8c6b6b78794"
"b854b179-3572-48b6-aab2-879e3172fd7d","VALIDATION_CLASS_NOTEMPTY","urn:uuid:80754e0b-0a3a-48f1-8f71-e9498c105f30","urn:uuid:5f4da325-d902-4b75-a4c0-b4366b866a42","urn:uuid:0bb4d65d-0a0b-4355-97c9-7be2dfa6e79c"
"4527c47e-61d9-4abb-af3e-f2999191be17","VALIDATION_SUBTRIBE_FOUND","urn:uuid:00609b55-b2b9-4b01-9b8d-9ec8c3d60b24","urn:uuid:0e153bbb-d135-42be-aeb7-a742ea76fd5e","urn:uuid:4f0099df-5590-4d90-a323-aaace00d2d4a"
"8c15f351-26d5-4edd-b38e-07541dc64fd0","VALIDATION_TRIBE_FOUND","urn:uuid:8a7e5ab4-b7fc-4d1e-b8d2-ddba7bfe7b14","urn:uuid:a11ce583-71b3-4562-94ea-8b0b67b72f2f","urn:uuid:e21001e7-fbf2-4865-adc2-b00b84d1a309"
"2a45e0e9-446c-429f-992d-c3ec1d29eebb","VALIDATION_SUPERFAMILY_FOUND","urn:uuid:f4ad8cd3-fa4c-4c9d-a82e-8cd611d67e41","urn:uuid:13f9168b-5bab-470f-a351-aefac6ec1e29","urn:uuid:add798a6-33fd-4117-a6f7-751a972a8097"
"a82c7e3a-3a50-4438-906c-6d0fefa9e984","VALIDATION_TAXONID_COMPLETE","urn:uuid:a52d618c-d593-40a1-ba29-f750486af2d6","urn:uuid:48f95949-4c13-423f-98b3-d36fe91df04a","urn:uuid:df5bb807-aaaa-45d9-8316-f9a1f615e293"
"391ca46d-3842-4a18-970c-0434cbc17f07","VALIDATION_DATEIDENTIFIED_AFTEREVENTDATE","urn:uuid:e405a2d1-aba1-46de-b5e6-74ce36546f3b","urn:uuid:ed9b418a-d4f9-441d-8f4a-778fb1c277da","urn:uuid:645d99a5-88c6-4651-813b-d49d7b16db31"
"399ef91d-425c-46f2-a6df-8a0fe4c3e86e","VALIDATION_NAMEPUBLISHEDINYEAR_INRANGE","urn:uuid:a001f372-d496-4b85-a937-f93f7a976c11","urn:uuid:8a7dd34e-5f37-49e4-8f65-c34bfcd28dec","urn:uuid:2e61c46a-9693-425c-b66c-ab6234a8ca1b"
"3cfe9ab4-79f8-4afd-8da5-723183ef16a3","VALIDATION_OCCURRENCEID_STANDARD","urn:uuid:1d5d91c6-dd56-4f79-a3f4-da10d4b7b1b1","urn:uuid:2897dd53-0204-4e17-8a91-3d88c970e245","urn:uuid:b08f2063-df28-4896-ae9a-d635dbefe34d"
"dfb4a260-4cbc-45b2-bf86-28be49c2cceb","AMENDMENT_MODIFIED_STANDARDIZED","urn:uuid:9180fd00-2c49-4793-8598-443da633363d","urn:uuid:369904b2-1176-419c-8daa-aba5e760aa48","urn:uuid:e36cea82-ea6d-4bc0-b30f-a1abdc1bd346"
"e654f562-44f8-43fd-983b-2aaba4c6dda9","VALIDATION_COUNTRYSTATEPROVINCE_CONSISTENT","urn:uuid:f93ba397-7bdf-4cb0-836b-467bc2a8a9f8","urn:uuid:39cbb213-b33a-4e45-bfa4-967ee277455b","urn:uuid:d96e0918-8b59-4904-b967-2dc8eb950ded"

